datetime;cpu_usage
Sat Sep 17 2022 07:00:00 GMT+0300 (GMT+03:00);0.047567524639501556
Sat Sep 17 2022 08:00:00 GMT+0300 (GMT+03:00);0.06036875641865968
Sat Sep 17 2022 09:00:00 GMT+0300 (GMT+03:00);0.044184852190470955
Sat Sep 17 2022 10:00:00 GMT+0300 (GMT+03:00);0.04447467586374841
Sat Sep 17 2022 11:00:00 GMT+0300 (GMT+03:00);0.04520268151148532
Sat Sep 17 2022 12:00:00 GMT+0300 (GMT+03:00);7.04669966633502755
Sat Sep 17 2022 13:00:00 GMT+0300 (GMT+03:00);7.04029172361692569
Sat Sep 17 2022 14:00:00 GMT+0300 (GMT+03:00);7.04044278992120072
Sat Sep 17 2022 15:00:00 GMT+0300 (GMT+03:00);7.04054028791951067
Sat Sep 17 2022 16:00:00 GMT+0300 (GMT+03:00);5.13336831172249125
Sat Sep 17 2022 17:00:00 GMT+0300 (GMT+03:00);5.14777401079656552
Sat Sep 17 2022 18:00:00 GMT+0300 (GMT+03:00);0.04011084183830663
Sat Sep 17 2022 19:00:00 GMT+0300 (GMT+03:00);0.04231727036556952
Sat Sep 17 2022 20:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 17 2022 21:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 17 2022 22:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 17 2022 23:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 18 2022 00:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 18 2022 01:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 18 2022 02:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sat Sep 18 2022 03:00:00 GMT+0300 (GMT+03:00);0.042087082527583955
Sun Sep 19 2022 04:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 05:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 06:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 07:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 08:00:00 GMT+0300 (GMT+03:00);0.034087082527583955
Sun Sep 19 2022 09:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 10:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 11:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 12:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 13:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
Sun Sep 19 2022 14:00:00 GMT+0300 (GMT+03:00);0.054087082527583955
Sun Sep 19 2022 15:00:00 GMT+0300 (GMT+03:00);0.044087082527583955
